,text,target
156,wtf like your lips still a virgin omg mom get a life youre 45 hahah : (,0
157,ninasty tsktsk oppa wont like u call his dick kawaii he is manly >:(,0
158,so lonely :(,0
159,can not go back to sleep :((,0
160,i wanna go on xbox for netflix but am already too comfy in bed :(,0
161,miss youu :(,0
162,sigh i feel bad for our girls :(,0
163,lol ! i love sweet potato fries :(,0
164,guess y ' all ugly asf huh :(,0
165,eish ive been quit i know ... i lost my twitter mojo shame ... n i dont know how to get it back :( mara im sure you can help me neh,0
166,aww i ' ve got a fever :( but # bad4thwin < 3,0
167,poor bb :(,0
168,i ' m not able to go ! :( it ' s the association of green councillors conference this weekend ...,0
169,my skype account is out of order . i think it ' s been hacked . so if you were in my contacts i ' m sorry :( i ' m creating a new one soon .,0
170,i miss your tweet spree oh :(,0
171,"yes na ! as sholong reject my proposal :( "": gee u don fly go gidi ? "": the way i ' m being pampered in this lagos ehn ....""""",0
172,i guess im arresting my girlfriend :((,0
173,hes such a nice person idk why anybody would say that to him :(,0
174,you know when a song just disappears from your phone and itunes ? i ' ve lost dazed and confused :(,0
175,fever . :-(,0
176,""" do you think they survived ???"" "" well , they did find all the missing bodies in fragments , so no . but it would ' ve been nice if they did ."" :(",0
177,im being forced to go :-(,0
178,horrible weather to be going to work in :(,0
179,wish that both of us could change this :(,0
180,walao kbs never show encore :(,0
181,sending . finally !!!!!!!!!!!!!! :(,0
182,being ill is the worst :(((,0
183,its not the same . :(((((,0
184,"hope # djderek is found safe & well had many fun times at his gigs , absolute legend :(",0
185,yeah and it ' s like why do you need to wait till saturday to give us homework pa :((((((( what if u made plans 4 da weekend ????,0
186,greek tragedy is such a cute song :((((,0
187,same :(,0
188,raining on me today :( gym it is then 💪🏻🐒,0
189,whats wrong ? :(,0
190,oh god !!! i ' m strucked by the pain ... cant take it anymore !!! :(,0
191,come to belgium :(,0
192,fabian delph has fallen :(,0
193,where u been hiding baby :((,0
194,i ' m draking silently so they can not hear it :(,0
195,rest in peace mo :(,0
196,not much chance of game tonight :( # t20blast,0
197,ahhh u see ? u would not wake up :(,0
198,mumma ! im on 7 % :(,0
199,i hope so :(,0
200,i ' m gonna be dead tomorrow :(:,0
201,:( i ' ll do high you do low,0
202,sad pray for me :(((,0
203,how very appropriate ! :(,0
204,poor him . . . :(,0
205,i ' m still awake :(,0
206,woke upp now i cant sleep :(,0
207,no one is up to help me :(,0
208,i do not know :(( just be happy for him :(,0
209,"hi , can you do me some dms with luke please ?:(",0
210,hey babe i just came across this pic .. what is this about ? i cant read hindi :(,0
211,their reactions :(((((,0
212,5s :( i think it ' s bc im running out of space tbh,0
213,i wish i could come and see you but on disability pension with ptsd makes it impossible both physically and financially :(,0
214,why does it have to rain :(,0
215,nooo why they broke up !!! they were soo amazing togheter !! :(,0
216,suck for me which mean i have to watch you play it around 1 p . m . my time :(,0
217,do not be like that :(,0
218,you cant hold another week ? september 21st . :-((,0
219,why they cut the encore i wanna see snsd infinite interaction :(,0
220,i miss watching anna akana videos :(,0
221,askip t ' existes pas :(,0
222,"sadly not :( - the channel owner decides which regions it broadcasts to . thanks , kei . please rate our se ...",0
223,i dont think or will ever notice me :( i still exist,0
224,the traffic is terrible :(,0
225,i ' ve been eyeing on a small kate spade bag too ! pero walang maganda :(,0
226,"haha aw , i miss you too ! have not seen you for agessss :(((",0
227,sigh ... :(,0
228,add me on snapchat - corinehurleigh # snapchat # snapchatme # instagram # addmeonsnapchat # sfs # quote # kiksexting :(,0
229,i have no bum in zara trousers :(,0
230,all these sushi pics on my tl are driving me craaaazzyy :(,0
231,my after effects not spanish :(,0
232,aww the poor thing :( hope it ' okay and in good health . luckely it has been freed from those rocks # orcalove,0
233,first i tried this but no result :(,0
234,i want my braces back ! :(,0
235,i need a big cuddle from lew and kisses on my face :(((( i do not want to go through this again,0
236,ems haha :(,0
237,craving for banana crumble mcflurry and fries :(,0
238,we ' re not going on the cable cars now because my brother got scared and does not want to :(((,0
239,i miss hello venus ' s old concepts tbh i rly like do you want some tea :(,0
240,tagal :(,0
241,we ' ve lost in album and broadcast points :(,0
242,"i have this awful appointment tomorrow and i ' d like to feel ok going in to it , since i will not be after it >:(",0
243,this sucks i want to go home :(,0
244,there ' s no milk left for my cereal :(,0
245,huh :( yes,0
246,we lost at the album and broadcast :((((,0
247,so sad :( via,0
248,everything and all :(,0
249,follow me :((,0
250,"yeah , i tried to film the date at the start . at the time of filming it had 4 days left . :(",0
251,"no , because you will get more than one and i think its not the same from the previous one :(",0
252,i can not smile :(,0
253,i ' m following 73 users who are not following me back . :(,0
254,when will got7 : (,0
255,seems to be everywhere today :(,0
256,for the fansign and take photo is more expensive :(,0
257,zzzzzz ..... please do not let the sun come up yet .... :(,0
258,when your bff ' s extremely stressed and you can not do anything but pray ... :(,0
259,ahh no win for the goodbye stage :(,0
260,"true , deosn ' t help that liverpool were here last week , most have never been to pool though :(",0
261,yes bro .. lost many too :(,0
262,praying for you all . so sorry this happened : (,0
263,"great news , thanks for letting us know :( we hope you have a good weekend !",0
264,it ' s so fucked :(,0
265,- my self esteem was on the lowest :(,0
266,they feel and look better where people can not see tbh they look so tacky :((,0
267,taken say :(,0
268,man all i got is lucky charms :((((,0
269,"# haaretz # israel :-( syria continues to develop chemical weapons , officials tell wsj : wsj rep ... # uniteblue # tcot",0
270,i want all these bts merchs :(((,0
271,only one more day :(,0
272,should have taken a pic before mrs wong confiscated my art work :(,0
273,# bad4thwin you guys omg :((((((,0
274,i had not thought of an icepack . big doses of pain killers on board . but it is feeling very very painful already :( * whimpers *,0
275,it ' s okay :(,0
276,says the man u fan :(,0
277,:(( i wish i could be there to say a final goodbye to them,0
278,will do senpai >:( - looks up on all of buttsex -,0
279,. but i was joking on the headline . so are not we friends ? :( pls dn ' t brk my heart . :'(,0
280,"when someone hits a head voice and i ' m like "" i would sound amazing if i could do that too ."" but no ... i can only do falsettos :(",0
281,notice me :(((,0
282,i hate our time zone :(,0
283,my snapchat - leanneriner19 # snapchat # hornykik # loveofmylife # dmme # pussy # newmusic # sexo :(,0
284,when will s2 be aired in spain ?? the delay is killing us ... :(,0
285,not a single untruth here :(,0
286,my last cross country in ij was amazing !!!!!!!💥✨💫 can not bear to leave :-(,0
287,i can not drive so :(,0
288,when i have my own little apartment can like someone come live with me :-(,0
289,soshi didnt win :(( buttt congrats infinite !! # bad4thwin,0
290,i ' m working saturday and sunday so friday is a bad day for me :(:(,0
291,going home soon :(,0
292,i shoulda moved away w my boys when i had the chance cause they ' re the only people i want at times like this :(,0
293,heyyyyy i wanted to see yeols solo danceeeeee :((((((((((((((,0
294,inter offer nemanja vidic to roma ... but they do not want him either :(,0
295,my mom ' s a linguist . my dad ' s a computer scientist . and i am the dumbest one in the family :-(,0
296,broken for me :( i really wanted my morning ice cream in the pouring rain ...,0
297,would you ever consider creating crash course videos about computer science ? there are not many resources at my school :(,0
298,all ice cream vehicles are busy :(,0
299,ate ayex what do you eat ? youre sexy :((( — i swear i eat a lot . no chill lamon haha,0
300,"this weather has me scrolling through my contacts of people i ' ve curved on some "" hey you 😉"" sigh * :(",0
301,so i ' ll be getting my cement cast tomorrow :(,0
302,shit 10 . 3k ???? :(((((,0
303,* sign out * :((((((,0
304,zayn :((,0
305,"( bot ) if you follow me , plz send to me mention . because i can not notice :(",0
306,these jmu camps are such a tease bc i just wanna be here now :(,0
307,"that ' s one of the sweetest things i ' ve ever said , awuna mbulelo :(",0
308,this fucking bad link is not working and i can not watch the match ! :(,0
309,"oh no mr i pigs not turning on :( although there ' s a weird crackling noise when i plug him in coming from the plug , i ' m thinking fuse ?",0
310,dammit i tipped carlton :( # aflblueshawks,0
311,miss you :(,0
312,go to bed :(,0
313,am want to go alex ' s house :(,0
314,so true ! this was part of a motorsport series ( all on one disc ) :(,0
315,"all i want right now is the a , followed by the d and a cheeky j after that instead i ' ve got some seo and some nls to be getting on with :(",0
316,sure !!! sorry :( x,0
317,hey bud ! christy is really sick so i can not leave these 2 at home :( xo thanks man,0
318,my niece is having a better summer then me :(,0
319,i just wanted a bloody sandwhich :(,0
320,:( it is,0
321,buset :(,0
322,# discrimination :-( five things we learned about pregnancy discrimination today | left foot f ... # uniteblue # tcot,0
323,"# discrimination :-( maternity discrimination : when i needed my boss , he kicked me in teeth - ... # uniteblue # tcot",0
324,# domesticviolence :( proposed new law will help domestic violence victims - 98fm : victims ... # uniteblue # vaw :-(,0
325,i missed you :( it was okay . lol . i did nothing . 😂,0
326,exactly but unfortunately :(,0
327,"such a stressful and upsetting day yesterday , the uk government sucks :(",0
328,"ugh , well i could still say that i ' m lucky because i am sapiosexual . :((((",0
329,aww too bad :(,0
330,ive been trying to play the damn beta for like 12 hours now :(,0
331,i do not want to be in a world where hulk hogan has been scrubbed from wwe history :-(,0
332,im so tired ! :(,0
333,this weather is not making me want to go to the gym at all ..... :-(,0
334,link does not work ! :(,0
335,irene seemed so sad after making that mistake :(,0
336,"naa unfortunately , i did not have my phone on me :(",0
337,its sold out :((((((((((((((((((((((((((((((((((((((((((((((((((((((((((,0
338,i hate u >.< >:( # h_my_king,0
339,we lose again :(,0
340,"valentine et al found r ' ships btwn homo / biphobic comments & certain disciplines - incl . european langs , lit , education :( # fresherstofinals",0
341,when will you notice me :( i ' m so hopeless 💔,0
342,my dreams are gettin too realistic for my liking thx !!! cant tell whats real n what isnt :((((,0
343,either or but would prefer benzema ! we will not get any though :(,0
344,hahahahahaah i donno korean language :( only few russian ) waaaaa,0
345,what about me ? :( # eidwithgrofers,0
346,someone talk to me i ' m boreddd :(,0
347,do not you just hate it when you get called a mug pisses me off >:(,0
348,""": i miss you , but i know you don ’ t care ."" :((",0
349,"no i can not do it , do not have the option on my phone :(",0
350,"i love tiddler , but that was really silly :( but at least we ’ ll be getting real new cards in like 1 hour ..",0
351,:( well this sucks,0
352,infinite win :(,0
353,are you sure that chorong is the leader ? # 에이핑크 # 더쇼 i can not be sure anymore :(,0
354,when will the clan slots be open :((,0
355,pffff doing a private # bugbounty and only finding self - xss and host header poisoning :( need some code execution # ktksbye,0
356,when your connect leaves a company and they do not alert you :(,0
357,. you cancelled my ice cream uber order . everyone else in the office got it but me . :(,0
358,"ahahah i consider it petite , i have a love hate relationship with my height :(",0
359,will cost you 600 k £ to get security alerts on odoo 8 if you are an odoo partner . far from community spirit . :-(,0
360,jgh :( im so effin tired,0
361,"facebook , y u no work ? y u do this facebook ? :(",0
362,no ones up :((,0
363,no unfortunately :( sorry !,0
364,anyone else ' s show box not working ?!?!?:(:(:(:(:(,0
365,ap will not be the same anymore :-(,0
366,story of my life ...!! love london and can not imagine living elsewhere but it ' s gonna have to happen someday :( i have no space !,0
367,"oh no ben :-( that is terrible , please provide us with the name of the branch you visited . we would like to address your concern .",0
368,poor guy :(,0
369,"i feel your pain , it ' s like the welsh pod all over again :(",0
370,i can not wait for the movie to come out :(,0
371,"hi julie , i ' m sorry you feel this way :( whats happened ? ^ laura",0
372,i cant :-( im still inside the train station waiting for the person ; _ ; home is another hour away d ;,0
373,not anymore :(,0
374,some people need not to talk - kama hawako around :( :( waa kimaaaaaani prisssss !,0
375,baggage claim . the final goodbye to all your new plane friends :(,0
376,i miss niamh i havent seen her in forever :(,0
377,yeah i screwed up again :-( and this time i thought i did something good good,0
378,i have ! :(,0
379,"hmmm , they always have so much sugar in them , i rarely make them . sorry i could not help . :(",0
380,i literally have no time to watch paper towns :((,0
381,what ' s the score don i ' m stuck at work :(,0
382,agh keeps cutting out in the middle of # undercoverboss :-(,0
383,please please come back to wwe :( تكفى,0
384,i ' ll be there around 10 . my train was delayed . :(,0
385,having a full time job means you only gonna have part time fun :(,0
386,my cats have forgotten who i am and they hate me :(,0
387,i know it ' s long and i played for 15 hours . :(,0
388,u already have most of them :(,0
389,yep again :(,0
390,why must the video stop tho :(,0
391,wisdom teeth giving me so much ache :((,0
392,y is no one up :-(,0
393,my wrists feel so naked bc i forgot my watch & bracelet :((,0
394,did you ligo na ? :(,0
395,the day a dozen parents and children killed a baby shark for a selfie :(,0
396,so this is heartache ? :(,0
397,i do not think so :( # zayniscomingback,0
398,little mix are coming to sweden tomorrow and i can not see them :-( im sad,0
399,"my heart is breathing for this moment in time , i ' ll find the words to say before you leave me today :(",0
400,elmhurst fc are over :-( i ' ll always be # etid,0
401,miss chillin ' with you :(,0
402,forget to my job . i ' m sorry my father . :(,0
403,"istanya going2supply all d extra infrastructure , teachers , doctors , nurses , paramedics & other countless things2cope with it all ?>:(",0
404,i liked a video pasha is crying after terrible donate :(,0
405,i ' m so bored !!! pleas can 1 arianator talk to me ? :(,0
406,lmao hahahaha slr jgh from school :((,0
407,my live streaming sucks or is it just me :(,0
408,kendall and kylie are killing me on kylie ' s snapchat :(((((,0
409,absolute world to me i was so close to seeing him but he did not show up in manila :( i cried so fucking hard that time,0
410,"jeebus . reabsorbtion of tooth , abscess , threatening to affect my lovely front crown :( and oooooooouch !!!",0
411,oh barney :((,0
412,awh why :( were nice,0
413,"sometimes it be ' s like that , yo . follow someone and then a few days later realise they ' re problematic as fuck . life :(",0
414,they didnt expect that omg their faces :((((( im so proud of you infinite,0
415,this day is such a mess ! :(,0
416,i miss you maa :( why did not you ever tell me its going to be like this without you ?,0
417,help me :(,0
418,why no bangalore ? :(,0
419,a least u never got called luis manzano tho,0
420,thanks shaaaa ! miss u super :(,0
421,we did not get the 7th win :(,0
422,meeting with the convener at 2 : 30pm :( not looking forward to it !,0
423,how was the party last night ? shame i could not go :( would of been lovely to have seen you again x,0
424,no !!! why did you delete me ?:(,0
425,"# turkey are now # bombing # isis in # syria , and allow the # usa to use one of it # airfields for their # jets :()",0
426,"i want jack ' s follow so bad , but i do not want to be annoying by spamming him :( sooo follow me please ? ☺💜",0
427,mommy ' s in manila and i ' ve only seen her once :(,0
428,"the reason why i ' m always , always overweight ... sigeg habhab :( masud pa kaha kos akong un …",0
429,yes thank u !! oh damn that hella sucks :-( but at least u had a really good time that ' s all that matters,0
430,no pala omg hahaha i have driving lessons :(,0
431,aw i wanna go and see dolphins again :( so cute xxx,0
432,holy fuck are u okay / text me if u need anythin !!! :-(,0
433,i miss you :(,0
434,# zayniscomingbackonjuly26 i see this trend an in radio the next sing is see you again ...:(,0
435,beware : agonising thought experiment ahead :(,0
436,"last time i was here , was a funeral and a again funeral . modimo ho tseba wena fela . :( — feeling emotional at ...",0
437,what ' s wrong with me :(,0
438,and now me too :( hubby will be delighted to return home lol,0
439,so sad for the girls oh why did not they win :((((,0
440,"i want something new too , damn you bills !! :(",0
441,nowt worse than a sad looking willy :(,0
442,sad moment when you gon vomit all this out :(,0
443,or a famous bowl :(,0
444,she ' s so cute :(,0
445,devastating to find out last night that titan ae was never actually any good :-(,0
446,mark followback :(,0
447,omg ... you ' re so beautiful ... miss you soooooooo much ...: (,0
448,miss you so much :( xxxxxx,0
449,i used to have such nice hair :(( look at it it ' s all shiny and long and wavy im emo,0
450,have fun in germany :( i can not be there 😭,0
451,i was about to make tea but load shedding was like ha . a bheyps not now ! ayemso hacked :((((,0
452,my left ear is swelling :(,0
453,read sm quotes on fb which remind me abt sm 1 and am missing him so much now :(,0
454,everyone is going to womad but me :(,0
455,wut the hell i can not sleep >:(,0
456,it is a vicious circle is not it :( x,0
457,there is no surprise :(,0
458,win tickets to cody simpson concert in singapore on august 10 ! # spinorbinmusicxcodysimpson pls pls :(,0
459,sorry poooo . :(,0
460,sorry na bh3s :(,0
461,project i want to enter into # pitchwars may not work . :( only first chap ? mine ' s a phone call transcript . # ugh,0
462,the apma ' s :(,0
463,this is bad . my shoulder has started to hurt like a bitch :( and we ' re just a day away from competition ! hope it ' ll be fine in time,0
464,it ' s okay i feel you it happens all the timw :(,0
465,do not make the other accs feel bad :( that ' s just rude,0
466,:(( that sucks . try vitamin e oil massage everyday for a while and it should make them healthier and easier to stretch,0
467,what the hell is going wrong :( i do not understand why people choose to hurt each other,0
468,i do not know what i ' m doing for # blockjam at all since my schedule ' s just whacked right now :(,0
469,wish i could have been there :(,0
470,guys add my kik - thelock76 # kik # kiksexting # sex # omegle # couple # travel # hotgirls :(,0
471,"valentine et al ( 2009 ) found relationships between homo / biphobic comments & certain disciplines - incl . european languages , lit , education :(",0
472,3 ghantay say light nai hay :(,0
473,i have it still will not work :(,0
474,rejection is the reason why people deny what they really feel . :(,0
475,this weather is ruining everything :(,0
476,"no , i was in laguna :((((",0
477,feeling sick :(,0
478,:( exit gomen,0
479,what the heck that ' s not fair 😂 i grew half an inch in two years :(,0
480,woke up feeling so sick :(,0
481,i wish you cut your hair like this again :(,0
482,problem is 1 . i ' m from uk so it ' s £ not $ and 2 . i do not have $ 25 :(,0
483,suuuuuuuper sick :( fever got way worse :(,0
484,me right now :(,0
485,65 % digital sales .. having a bad feeling :(,0
486,can i use anyones netflix my account is inactive and i wanna watch orphan black :(((,0
487,havent seen you earlier :(,0
488,whaaat ? what is this :((,0
489,yes baby kaya i ' m so sorry :(((((,0
490,naaaaan pas goodbye stage :(,0
491,why does my music keep pausing randomly ? it ' s the only app open :(,0
492,3 : 30am walk down inglewood ummm bad idea :( ugh stupid anxiety,0
493,and it ' s not easy to be me :(,0
494,belgium :(,0
495,"this one was ready in 3 weeks and is also charcoal , but the other one wont be ready til mid - end aug :-(",0
496,noooo i ' ve just heard the news :(,0
497,rip rodfanta :-(,0
498,i wish i was better with words :-(,0
499,"yes , all wasp stings have been averted . those bugs are mean :(",0
500,can u feel it ? :((:( # exo,0
501,please do not leave :(,0
502,i ' m feel so seekly ...:(,0
503,shocking news !!! :( # riptito,0
504,"i can not see it ! i ' m sorry . call me a manbearpig , but i cannot see it . sorry :(",0
505,can i grow shorter pls :(,0
506,academics :-(((((,0
507,i want my free ice cream ! :-(,0
508,""" exclusive to germany "" how unfair is that ? :( esp . regarding the current bleak german charts situation , still no entry even @ top 100 . pfft .",0
509,later i feel out of place :((,0
510,it was white washed dude to the polaroid effect :-(,0
511,i feel bad for talking to you ... :(,0
512,# newbethvideo i love you sooo much ! but ... i live in greece so i dont think i ' m gonna win :( but always hope !!!! < 3,0
513,haha i know right :( he needs a good talking to that xur does !,0
514,imy too :(,0
515,i do not even know what ' s going on :( fill me in please ? ! # soon babe ... ♡♥♡♥ xoxoxo,0
516,it ' s raining here :( but i will make sure i get a picture of him soon,0
517,|| i want cereal . too bad we do not have any . >:(,0
518,just got home . lost one of my stud earrings :(,0
519,i miss his massages :(,0
520,kik me guys : hunde6 # kik # kikhorny # tagsforlikes # skype # kikchat # amazon # kikhorny :(,0
521,i lost my 3 . 4k :(,0
522,"yach .. telat .. huvvft ..., :(",0
523,it ' s been years since i have been in a zoo and it ' s only on fieldtrips so no time to touch :(((,0
524,i wanted to hug him after watching this :(,0
525,i missed the following spree :( next time though x,0
526,still hoping :( # zayniscomingbackonjuly26,0
527,a kaya yan ! think positive !,0
528,"i miss my king , future , boss , and rain :(",0
529,"i want to watch a movie , listen to sizwe , eat and write my assignments at the same time .... but i can not do that :(",0
530,i miss you :(,0
531,this time in 20 days i ' ll have my results kms :(,0
532,i have four shifts left with my heart has broken :(,0
533,aaaaahhhhhhhh :( it is only 3 pm and i feel like dying of boredom ....,0
534,on me birthday en all :(,0
535,stop playing with my feelings man :( i aint got no time for that . * still hoping * ♡ # zayniscomingbackonjuly26,0
536,u started it :(,0
537,am i the one whos dont see sinse to trend something like thats ? :( # zayniscomingbackonjuly26,0
538,"good thing i got those free earrings , as i ' ve somehow lost one of the tiny screw on ball things from one of my barbells :(",0
539,"o only about this weekend , i ' m on the course next week so will not be able to get into amsterdam :(",0
540,luv u 💖 ps . we have not talked in a looooong time :-( why ??,0
541,home ? but my eyes aint apartement : (,0
542,text : :( why,0
543,with this rain though ? :(,0
544,"sc , longe :(",0
545,especially when you do not like it :( i can not do the same song over and over again :/,0
546,cat on the lap . i have to go out now ! :(,0
547,:((( & i ' m litro gonna be on my own that weekend,0
548,shit good shepherd is lami :( 3,0
549,thank you . maybe because of late sleep . :(,0
550,i need relax .:-( ...# lungomare # pesaro # giachietittiwedding # igersoftheday # summertime # summer …,0
551,my nose is bruised a lil :( :(,0
552,"fuck those snake things in journey . always went for me , never my partner . had a beautiful scarf and he ate it :(",0
553,i ' m hoping that if he comes back to aus i can afford to go again but i dont think i ' ll be able to :(,0
554,it just ruins your # fridayfeeling when you know next day you have to wake up early in the morning ....:(,0
555,i ' ll be so sad if there ' s nothing tonight :(,0
556,i want a bad bitch but i aint got no money :(,0
