,text,target
113,@malikm0ney sorka no :((,0
114,@fxnno_ i knew u would be sad :( were having a funeral i was gonna text u but i have no phone,0
115,Sunny :( i feel so bad.... http://t.co/17tca0uhKp,0
116,So nonexistent wowza :(,0
117,@izgzb @aishahyussofff back off fah she's mine :-(,0
118,@DIMPLEDJAI taylor why did you crop yourself out :(((((((((((((((,0
119,@nickjdrake Boo on both counts :-(,0
120,new guitar :(,0
121,@PinkCloud_RP so when will i get my jonghyun hyung? :( please predict it :(,0
122,I hope SJ will be nominated soon but no SJ vs INFINITE pls :(((((,0
123,"Yeah dudes, keep calm and brace yourselves :-( https://t.co/ZnOjT3v9Gq",0
124,@Mr_FRML sir plus 4 please :((,0
125,THEY LOOKED SO SHOCK OMGGGG :((( YALL DESERVE IT :((((,0
126,Whenever I would spend the night we would smoke and watch a movie but he would always end up falling asleep on me :(,0
127,We were 1 point close to grand finals! :( whyyy,0
128,@muhammadskates :( that's a long time,0
129,"@evanquick Oh, that must be so annoying Evan :( Do the texts give the option to opt out?",0
130,Who's doing giveaways for muster goods? :( or any merchs,0
131,@wendyykid ah too bad :(,0
132,People are looking at me funny because I'm drinking savanna with a straw :(,0
133,Good bye stage :((((,0
134,@ameliahartin AND WHY DID YOU IGNORE ME YESTER AFTERNOON :(,0
135,I can't sleep :( someone talk to me,0
136,yeah :(,0
137,@_Birexus yes sadly :(.,0
138,@ClaireClaire05 Very :(,0
139,@The_Strypes whens the album coming? :(,0
140,The last of my chocolate has been consumed. :(,0
141,ugh i have werk in the morning too :-(,0
142,@Deedee_50Fly foreals :( a wesen uwesiti mj 😂😩,0
143,@crazynovely I will if I catch him online long enough - haha!  He's being very annoying!!  :(,0
144,Bosen :(,0
145,Dying for some egg benny :(,0
146,@Michael5SOS Sometimes I hate you :((,0
147,@Mark23Baracael baby followback huhu :(,0
148,@fkluca but no ones as cute as u so :(,0
149,@Tinkkza You're gonna watch this shit and understand how badly you scared me! &gt;:( https://t.co/YcGudITQgx,0
150,"I miss Al, Katie, Zaz and Amy a lot :((",0
151,I liked a @YouTube video http://t.co/2JcBiswDW9 More subs plz :(,0
152,@LittleMix @SonyMusicNL Can u make a diary while you're all there please :((,0
153,@neikmat Sorry :(,0
154,@twyodor @gkjohn :-( I don't read most of these rehash websites that have mushroomed. A good piece may be by exception &amp; reaches one anyway.,0
155,@daddyksoo and yes its been a while vicky omg :-(((((,0
156,"@megsyfoxie WTF LIKE YOUR LIPS STILL A VIRGIN OMG MOM GET A LIFE YOURE 45 

Hahah : (",0
157,@pastelwolfxx @CHA_NNNNN niNASTY tsktsk oppa wont like u call his dick kawaii he is manly &gt;:( http://t.co/83cUgt7qQ3,0
158,So Lonely :( http://t.co/VM4N0n8Bkw,0
159,can't go back to sleep :((,0
160,i wanna go on xbox for netflix but am already too comfy in bed :(,0
161,@baileymac02 miss youu :(,0
162,sigh i feel bad for our girls :(,0
163,@oH_So_EhmTee lol! I love sweet potato fries :(,0
164,@_Birexus guess y'all ugly asf HUH :(,0
165,@Dsitando eish ive been quit i know...i lost my twitter mojo shame...n i dont know how to get it back :( mara im sure you can help me neh,0
166,aww i've got a fever :( but #bad4thwin &lt;3,0
167,Poor bb :(,0
168,@UrsulaWJ @OwenWinterMYP I'm not able to go! :( It's the Association of Green Councillors conference this weekend...,0
169,My skype account is out of order. I think it's been hacked. So if you were in my contacts I'm sorry :( I'm creating a new one soon.,0
170,@selenagomez i miss your tweet spree oh :(,0
171,"Yes na! As sholong reject my proposal :( ""@elzzika: Gee U don fly go gidi? ""@Gatlinho: The way i'm being pampered in this lagos ehn....""""",0
172,@isxbe i guess im arresting my girlfriend :((,0
173,@prophdog_ @attepate hes such a nice person idk why anybody would say that to him :(,0
174,You know when a song just disappears from your phone and iTunes? I've lost Dazed and Confused :(,0
175,FEVER. :-(,0
176,"""Do you think they survived???""
""Well, they did find all the missing bodies in fragments, so no. But it would've been nice if they did."" :(",0
177,@DareToAttar im being forced to go :-(,0
178,Horrible weather to be going to work in :(,0
179,@okayshesaid wish that both of us could change this :(,0
180,walao kbs never show encore :(,0
181,Sending. Finally!!!!!!!!!!!!!! :(,0
182,Being ill is the worst :(((,0
183,its not the same. :(((((,0
184,"Hope #DJDerek is found safe &amp; well had many fun times at his gigs, absolute legend :(",0
185,@qtbatooty_ yeah and it's like why do you need to wait till saturday to give us homework pa :((((((( WHAT IF U MADE PLANS 4 DA WEEKEND????,0
186,Greek Tragedy is such a cute song :((((,0
187,@bammyxoxo @stffnkthx @breeyanuh16 same :(,0
188,"Raining on me today :( 

Gym it is then 💪🏻🐒",0
189,@cutelilawley whats wrong? :(,0
190,Oh god!!! I'm strucked by the pain... Cant take it anymore!!! :(,0
191,@LittleMix come to Belgium :(,0
192,"Fabian Delph has fallen :(
@BLUEARMY_IND @MCFC",0
193,@rosicky1987 WHERE U BEEN HIDING BABY :((,0
194,I'm draking silently so they can't hear it :(,0
195,Rest in peace mo :(,0
196,@MHSScho not much chance of game tonight :( #t20blast,0
197,@OL_EYY ahhh u see? U wouldn't wake up :(,0
198,Mumma! Im on 7% :( @LMCDark_Angel,0
199,@sarahhardman8 I hope so :(,0
200,I'm gonna be dead tomorrow :(:,0
201,@_Dedox :( I'll do high you do low,0
202,@hanbined sad pray for me :(((,0
203,@BritishSignBSL how very appropriate! :(,0
204,@RedsOrDead poor him. . . :(,0
205,I'm still awake :(,0
206,woke upp now i cant sleep :(,0
207,No one is up to help me :(,0
208,@curlsharryxoxo i don't know :(( just be happy for him :(,0
209,"@blvsamx hi, can you do me some dms with luke please ?:(",0
210,@KanchuDarling @VidyutJammwal hey babe i just came across this pic..what is this about? I cant read hindi :(,0
211,their reactions :(((((,0
212,@junghoseoks 5s :( i think it's bc im running out of space tbh,0
213,@rustyrockets I wish I could come and see you but on Disability pension with PTSD makes it impossible both physically and financially :(,0
214,Why does it have to rain :(,0
215,@Foooer_Hungary @FoooerSG nooo why they broke up!!! They were soo amazing togheter!! :(,0
216,@MystikGunn suck for me which mean I have to watch you play it around 1 p.m. my time :(,0
217,Don't be like that :(  https://t.co/gaWf0bsr6A,0
218,@derekklahn You cant hold another week? September 21st. :-((,0
219,why they cut the encore i wanna see snsd infinite interaction :(,0
220,i miss watching anna akana videos :(,0
221,@tokyato askip t'existes pas :(,0
222,"@9_Moore Sadly not :( - the channel owner decides which regions it broadcasts to. Thanks, Kei. Please rate our se... https://t.co/EzfeHMTT5S",0
223,i dont think @camerondallas  or @JackAndJackReal  will ever notice me :( I STILL EXIST,0
224,The traffic is terrible :(,0
225,@joaannelopez I've been eyeing on a small kate spade bag too! Pero walang maganda :(,0
226,"@mermaid_bl00d haha aw, I miss you too! Haven't seen you for agessss :(((",0
227,@energybiebers Sigh... :(,0
228,Add me on Snapchat - CorineHurleigh #snapchat #snapchatme #instagram #addmeonsnapchat #sfs #quote #kiksexting :( http://t.co/8bk7ptaqaR,0
229,I have no bum in Zara trousers :(,0
230,All these sushi pics on my tl are driving me craaaazzyy :(,0
231,My after effects not spanish :(,0
232,Aww the poor thing :( Hope it'okay and in good health. luckely it has been freed from those Rocks #orcalove https://t.co/tOSZMOafv6,0
233,@Techverse_in first i tried this http://t.co/XTSzpi9fQW but no result :(,0
234,I want my braces back! :(,0
235,I need a big cuddle from Lew and kisses on my face :(((( I don't want to go through this again,0
236,@xcrazy90skidx @kowtsnatinito @_patnicolexx ems haha :(,0
237,Craving for Banana Crumble McFlurry and Fries :(,0
238,We're not going on the cable cars now because my brother got scared and doesn't want to :(((,0
239,i miss hello venus's old concepts tbh i rly like do you want some tea :(,0
240,tagal :(,0
241,We've lost in album and broadcast points :( http://t.co/QDSVS5Q9SR,0
242,"i have this awful appointment tomorrow and i'd like to feel OK going in to it, since I won't be after it &gt;:(",0
243,This sucks I want to go home :(,0
244,There's no milk left for my cereal :(,0
245,@shahrukh9899 @IamMansoorKhan Huh :( yes,0
246,we lost at the album and broadcast :((((,0
247,So sad :( http://t.co/fVV9Y3WX2o via @EvokeToday,0
248,Everything and all :(,0
249,@RealLiamPaynePH follow me :((,0
250,"@sainsburys yeah, I tried to film the date at the start. At the time of filming it had 4 days left.  :(",0
251,"@namwngr no, because you will get more than one and i think its not the same from the previous one :(",0
252,I can't smile :(,0
253,I'm following 73 users who aren't following me back.  :(,0
254,when will got7 : (,0
255,@craigyboi seems to be everywhere today :(,0
256,@OliviaKaparang @BTS_twt for the fansign and take photo is more expensive :(,0
257,Zzzzzz.....please don't let the sun come up yet.... :(,0
258,"When your bff's extremely stressed and you can't do anything but pray... 

:(",0
259,ahh no win for the goodbye stage :(,0
260,"@st3cav @MCFC @sterling31 @YayaToure True, deosn't help that Liverpool were here last week, most have never been to Pool though :(",0
261,@ArunbuddyAP yes bro..lost many too :(,0
262,@JindalDaily praying for you all. So sorry this happened : (,0
263,"@jackshilling Great news, thanks for letting us know :( We hope you have a good weekend!",0
264,@peachyIauren it's so fucked :(,0
265,@LocoTaii - My self esteem was on the lowest :(,0
266,"@RyanBitchTits they feel and look better where people can't see tbh
They look so tacky :((",0
267,@fabssulli taken say :(,0
268,@ASVPxGABE man all I got is lucky charms :((((,0
269,"#Haaretz #Israel :-( Syria continues to develop chemical weapons, officials tell WSJ: WSJ rep... http://t.co/3c5PRCHKqw #UniteBlue #Tcot",0
270,i want all these bts merchs :(((,0
271,Only one more day :(,0
272,Should have taken a pic before mrs wong confiscated my art work :(,0
273,#Bad4thWin you guys omg :((((((,0
274,@mustntgrumble I hadn't thought of an icepack. Big doses of pain killers on board. But it is feeling very very painful already :( *whimpers*,0
275,it's okay :(,0
276,@ABeezyGMT says the Man U fan :(,0
277,@BIBBYUPDATES :(( I wish I could be there to say a final goodbye to them,0
278,@_awkwardraven Will do Senpai &gt;:( -looks up on all of buttsex-,0
279,.@sabal_abla @tanha_messiah But I was joking on the headline. So aren't we friends? :( Pls dn't brk my heart. :'(,0
280,"When someone hits a head voice and I'm like ""I would sound amazing if I could do that too."" But no... I can only do falsettos :(",0
281,@Patrickcf26 NOTICE ME :(((,0
282,@versacelopez I hate our time zone :(,0
283,MY snapchat - LeanneRiner19 #snapchat #hornykik #loveofmylife #dmme #pussy #newmusic #sexo :( http://t.co/TyhwG534Ng,0
284,@DominionSyfy when will S2 be aired in Spain?? The delay is killing us... :(,0
285,@TheOnion @ChoKyungHoon82 not a single untruth here :(,0
286,My last cross country in IJ was amazing!!!!!!!💥✨💫 Can't bear to leave :-( https://t.co/VkVOxIaEQn,0
287,@_lizzy_kay I can't drive so :(,0
288,when I have my own little apartment can like someone come live with me :-(,0
289,soshi didnt win :(( buttt congrats infinite!! #bad4thwin,0
290,@rickygervais I'm working Saturday and Sunday so Friday is a bad day for me :(:(,0
291,going home soon :(,0
292,I shoulda moved away w my boys when I had the chance cause they're the only people I want at times like this :(,0
293,Heyyyyy i wanted to see yeols solo danceeeeee :((((((((((((((,0
294,Inter offer Nemanja Vidic to Roma...but they don't want him either :( http://t.co/Ksdgy0lTpF http://t.co/FplKjpXNQN,0
295,My mom's a linguist. My dad's a computer scientist. And I am the dumbest one in the family :-(,0
296,@GizmodoUK broken for me :( I really wanted my morning ice cream in the pouring rain... http://t.co/y9waxvQKpg,0
297,@hankgreen would you ever consider creating crash course videos about computer science? There aren't many resources at my school :(,0
298,@Uber all ice cream vehicles are busy :(,0
299,ate ayex what do you eat? youre sexy :((( — I swear I eat a lot. No chill lamon haha http://t.co/CfOxw5wljZ,0
300,"This weather has me scrolling through my contacts of people I've curved on some ""hey you 😉"" sigh* :(",0
301,so i'll be getting my cement cast tomorrow :(,0
302,Shit 10.3k???? :(((((,0
303,*sign out* :(((((( https://t.co/y45q9GAJ5j,0
304,@zaynmalik zayn :((,0
305,"(bot) If you follow me, plz send to me mention. Because I can't notice :(",0
306,these JMU camps are such a tease bc I just wanna be here now :(,0
307,"@mizznhee that's one of the sweetest things I've ever said, awuna mbulelo :(",0
308,This fucking bad link isn't working and I can't watch the match! :(,0
309,"Oh no Mr I Pigs not turning on :( although there's a weird crackling noise when I plug him in coming from the plug ,I'm thinking fuse?",0
310,@TitusOReily dammit I tipped Carlton :( #AFLBluesHawks,0
311,@baileymac02 miss you :(,0
312,@jiministic go to bed :(,0
313,Am want to go Alex's house :(,0
314,@MotorsportCntrl @GP2_Official so true! This was part of a motorsport series (all on one disc) :(,0
315,"All I want right now is the A, followed by the D and a cheeky J after that

Instead I've got some SEO and some NLs to be getting on with :(",0
316,@BOYBANDSFTCARA sure!!! Sorry :( x,0
317,@talkingsimpsons hey bud! Christy is really sick so I can't leave these 2 at home :( xo thanks man,0
318,My niece is having a better summer then me :(,0
319,I just wanted a bloody sandwhich :(,0
320,@Whorgeee :( it is,0
321,Buset :( https://t.co/hQ4y4FKniZ,0
322,#Discrimination :-( Five things we learned about pregnancy discrimination today | Left Foot F... http://t.co/Ey9MmaSmsd #UniteBlue #Tcot,0
323,"#Discrimination :-( Maternity discrimination: When I needed my boss, he kicked me in teeth - ... http://t.co/2WT4YyMNWz #UniteBlue #Tcot",0
324,#DomesticViolence :( Proposed New Law Will Help Domestic Violence Victims - 98FM: Victims ... http://t.co/eoISmrzLpo #UniteBlue #VAW :-(,0
325,@nnoonlight i missed you :( it was okay. lol. I did nothing. 😂,0
326,@hamzaabasiali exactly but unfortunately :(,0
327,"Such a stressful and upsetting day yesterday, the UK government sucks :(",0
328,"Ugh, well I could still say that I'm lucky because I am Sapiosexual. :((((",0
329,Aww too bad :(,0
330,Ive been trying to play the damn beta for like 12 hours now :(,0
331,I don't want to be in a world where Hulk Hogan has been scrubbed from WWE history :-(,0
332,im so tired! :(,0
333,This weather isn't making me want to go to the gym at all..... :-(,0
334,@katjturgoose @artsjobs Link doesn't work! :(,0
335,Irene seemed so sad after making that mistake :(,0
336,"@ItssssKelseyyyy Naa unfortunately, I didn't have my phone on me :(",0
337,@bmthofficial ITS SOLD OUT :((((((((((((((((((((((((((((((((((((((((((((((((((((((((((,0
338,i hate u &gt;.&lt; &gt;:( #H_My_King,0
339,we lose again :(,0
340,"Valentine et al found r'ships btwn homo/biphobic comments &amp; certain disciplines - incl. European langs, lit, education :( #fresherstofinals",0
341,when will you notice me :( i'm so hopeless 💔 @SeaveyDaniel,0
342,my dreams are gettin too realistic for my liking thx !!! cant tell whats real n what isnt :((((,0
343,@SidebySide either or but would prefer Benzema! We won't get any though :(,0
344,@dontvexmysoul hahahahahaah i donno korean language :( only few russian ) waaaaa,0
345,@Grofers what about me? :( #EidWithGrofers,0
346,Someone talk to me I'm boreddd :(,0
347,"don't you just hate it when you get called a mug 
pisses me off &gt;:(",0
348,"""@MgaPinoyPatama: I miss you, but I know you don’t care."" :((",0
349,"@alexmcgraaa no I can't do it, don't have the option on my phone :(",0
350,"@CelestialSinn I love Tiddler, but that was really silly :( but at least we’ll be getting real new cards in like 1 hour..",0
351,:( well this sucks,0
352,Infinite win :(,0
353,@SBS_MTV Are you sure that Chorong is the leader? #에이핑크 #더쇼 I can't be sure anymore :(,0
354,@ClashWithCam when will the clan slots be open :((,0
355,Pffff doing a private @Bugcrowd #bugbounty and only finding self-XSS and host header poisoning :( Need some code execution #ktksbye,0
356,When your connect leaves a company and they don't alert you :(,0
357,.@uberuk you cancelled my ice cream uber order. Everyone else in the office got it but me. :(,0
358,"@Nebula2592 ahahah i consider it petite, i have a love hate relationship with my height :(",0
359,@therp_stefan @Therp_BV will cost you 600 k£ to get security alerts on odoo 8 if you are an Odoo partner. Far from community spirit. :-(,0
360,jgh :( im so effin tired,0
361,"facebook, y u no work ? y u do this facebook ? :(",0
362,No ones up :((,0
363,@TheNameIsJase No unfortunately :( Sorry!,0
364,Anyone else's show box not working?!?!?:(:(:(:(:(,0
365,AP won't be the same anymore :-(,0
366,@llymlrs story of my life...!! Love London and can't imagine living elsewhere but it's gonna have to happen someday :( I have NO space!,0
367,"@benrwms Oh no Ben :-( That is terrible, please provide us with the name of the branch you visited. We would like to address your concern.",0
368,Poor guy :( http://t.co/aSq9NN4AXR,0
369,"@elninakauser I feel your pain, It's like the Welsh Pod all over again  :(",0
370,@buterasfredo i can't wait for the movie to come out :(,0
371,"@littlejules14 Hi Julie, I'm sorry you feel this way :( Whats happened? ^Laura",0
372,@maknaekookie i cant :-( im still inside the train station waiting for the person ;_; home is another hour away D;,0
373,@vegemitegrier not anymore :(,0
374,"@wendykims @Joix05 @GiladMillo some people need not to talk-kama hawako around :( :( 
Waa Kimaaaaaani prisssss!",0
375,Baggage claim. The final goodbye to all your new plane friends :(,0
376,i miss niamh i havent seen her in forever :(,0
377,Yeah I screwed up again :-( and this time I thought I did something good good,0
378,@lifeboatsupport I have! :(,0
379,"@CherylWalmsley hmmm, they always have so much sugar in them, I rarely make them. Sorry I couldn't help. :(",0
380,I literally have no time to watch paper towns :((,0
381,@donhutch4 what's the score don I'm stuck at work :(,0
382,Agh @UPCIreland keeps cutting out in the middle of #undercoverboss :-(,0
383,@CMPunk @MattJackson13  please please come back to wwe :( تكفى,0
384,@cosplayamerica I'll be there around 10. My train was delayed. :(,0
385,Having a full time job means you only gonna have part time fun :(,0
386,My cats have forgotten who I am and they hate me :(,0
387,@vaxwell I know it's long and I played for 15 hours. :(,0
388,@NewBreed_Next u already have most of them :(,0
389,@Kryaotic117 @TritanArmyv2 @MoreConsole yep again :(,0
390,WHY MUST THE VIDEO STOP THO :(,0
391,wisdom teeth giving me so much ache :((,0
392,Y is no one up :-(,0
393,my wrists feel so naked bc i forgot my watch &amp; bracelet :((,0
394,@diamaziing Did you ligo na? :(,0
395,The Day A Dozen Parents And Children Killed A Baby Shark For A Selfie :(  https://t.co/S8cq6c91ni,0
396,So this is Heartache? :(,0
397,I don't think so :( #zayniscomingback,0
398,little mix are coming to sweden tomorrow and i can't see them :-( im sad,0
399,"my heart is breathing for this moment in time, i'll find the words to say before you leave me today :(",0
400,Elmhurst FC are over  :-( I'll always be  #ETID,0
401,Miss chillin'with you :( @PrincessReeev,0
402,"Forget to my Job. 
I'm sorry my father. :(",0
403,"@Scruffbucket IsTanya going2supply all d EXTRA infrastructure,teachers,doctors,nurses,paramedics&amp;other countless things2cope with it all?&gt;:(",0
404,I liked a @YouTube video http://t.co/93Z6WOVOs9 PASHA IS CRYING AFTER TERRIBLE DONATE :(,0
405,i'm so bored!!! pleas can 1 Arianator talk to me? :(,0
406,@Hydrojeon lmao hahahaha slr jgh from school :((,0
407,My live streaming sucks or is it just me :(,0
408,Kendall and Kylie are killing me on Kylie's snapchat :(((((,0
409,@MaayanGean absolute world to me I was so close to seeing him but he did not show up in manila :( i cried so fucking hard that time,0
410,"@jmcefalas Jeebus. Reabsorbtion of tooth, abscess, threatening to affect my lovely front crown :( and OOOOOOOOUCH!!!",0
411,oh barney :((,0
412,Awh why :( were nice  https://t.co/5zAwc5Z37J,0
413,"Sometimes it be's like that, yo. Follow someone and then a few days later realise they're problematic as fuck. Life :(",0
414,THEY DIDNT EXPECT THAT OMG THEIR FACES :((((( IM SO PROUD OF YOU INFINITE,0
415,This day is such a mess! :(,0
416,I miss you maa :( why didn't you ever tell me its going to be like this without you?,0
417,Help me :(,0
418,@TheHinduTheatre @evam_entd Why no Bangalore? :(,0
419,"@NotRedbutBlue awww :(
at least u never got called luis manzano tho",0
420,@bebeshaaa thanks shaaaa! Miss u super :(,0
421,WE DIDN'T GET THE 7TH WIN :(,0
422,Meeting with the convener at 2:30pm :( not looking forward to it!,0
423,@tweetseamus how was the party last night? Shame I couldn't go :( would of been lovely to have seen you again x,0
424,@SynergyFlying No!!! Why did you delete me?:(,0
425,"#TURKEY ARE NOW #BOMBING #ISIS IN #SYRIA,AND ALLOW THE #USA TO USE ONE OF IT #AIRFIELDS FOR THEIR #JETS :()",0
426,"I want Jack's follow so bad, but I don't want to be annoying by spamming him :( sooo @jackgilinsky follow me please? ☺💜",0
427,mommy's in manila and I've only seen her once :(,0
428,"The reason why I'm always, always overweight... sigeg habhab :( masud pa kaha kos akong un… http://t.co/RZ52EUtzMD http://t.co/Nvx057PFZp",0
429,@samayanyan yes thank u!! Oh damn that hella sucks :-( but at least u had a really good time that's all that matters,0
430,@mollehgarcia no pala omg hahaha i have driving lessons :(,0
431,aW i wanna go and see dolphins again :( so cute xxx http://t.co/RJBAFfSMbh,0
432,@brighteyedmgc hoLY FUCK are u okay / text me if u need anythin !!! :-(,0
433,@xband__loverx I miss you :(,0
